,32,W20,34,1,10,4,2,50,3,9,6,36,E51,5,66,W16,E18,26,56,E19
32,0.0,506.0,208.0,581.0,614.0,566.0,530.0,293.0,610.0,405.0,259.0,179.0,477.0,492.0,109.0,194.0,247.0,98.0,149.0,175.0
W20,506.0,0.0,286.0,964.0,996.0,948.0,913.0,731.0,993.0,145.0,697.0,306.0,916.0,232.0,548.0,633.0,685.0,443.0,587.0,584.0
34,221.0,299.0,0.0,734.0,767.0,719.0,683.0,445.0,763.0,198.0,411.0,20.0,630.0,285.0,262.0,347.0,400.0,157.0,301.0,298.0
1,581.0,967.0,724.0,0.0,157.0,177.0,163.0,363.0,101.0,922.0,433.0,696.0,653.0,1009.0,458.0,479.0,604.0,599.0,449.0,604.0
10,613.0,998.0,756.0,157.0,0.0,49.0,157.0,395.0,55.0,953.0,464.0,727.0,685.0,1040.0,490.0,510.0,636.0,631.0,480.0,635.0
4,564.0,949.0,707.0,176.0,48.0,0.0,108.0,346.0,103.0,904.0,415.0,678.0,636.0,991.0,441.0,462.0,587.0,582.0,431.0,586.0
2,530.0,915.0,672.0,163.0,157.0,109.0,0.0,312.0,173.0,870.0,381.0,644.0,602.0,957.0,407.0,427.0,553.0,548.0,397.0,552.0
50,295.0,736.0,438.0,365.0,397.0,350.0,314.0,0.0,394.0,635.0,185.0,409.0,290.0,722.0,151.0,231.0,241.0,313.0,201.0,240.0
3,612.0,997.0,754.0,102.0,56.0,105.0,175.0,394.0,0.0,952.0,463.0,726.0,684.0,1039.0,488.0,509.0,634.0,630.0,479.0,634.0
9,412.0,152.0,192.0,926.0,958.0,910.0,875.0,637.0,955.0,0.0,603.0,212.0,822.0,114.0,454.0,539.0,591.0,349.0,493.0,490.0
6,259.0,697.0,411.0,433.0,464.0,415.0,381.0,185.0,463.0,603.0,0.0,376.0,390.0,689.0,146.0,64.0,308.0,280.0,109.0,316.0
36,179.0,306.0,20.0,696.0,727.0,678.0,644.0,409.0,726.0,212.0,383.0,0.0,602.0,305.0,234.0,319.0,371.0,129.0,273.0,270.0
E51,477.0,916.0,630.0,653.0,685.0,636.0,602.0,290.0,684.0,822.0,385.0,591.0,0.0,904.0,351.0,431.0,306.0,495.0,401.0,387.0
5,492.0,232.0,285.0,1009.0,1040.0,991.0,957.0,722.0,1039.0,114.0,694.0,303.0,912.0,0.0,544.0,630.0,682.0,439.0,584.0,581.0
66,109.0,548.0,262.0,458.0,490.0,441.0,407.0,151.0,488.0,454.0,143.0,224.0,352.0,537.0,0.0,78.0,132.0,127.0,33.0,116.0
W16,194.0,633.0,347.0,479.0,510.0,462.0,427.0,231.0,509.0,539.0,64.0,312.0,435.0,625.0,81.0,0.0,244.0,216.0,45.0,252.0
E18,247.0,685.0,400.0,604.0,636.0,587.0,553.0,241.0,634.0,591.0,306.0,363.0,308.0,676.0,135.0,242.0,0.0,267.0,196.0,159.0
26,98.0,443.0,157.0,599.0,631.0,582.0,548.0,313.0,630.0,349.0,279.0,121.0,498.0,434.0,130.0,215.0,267.0,0.0,169.0,233.0
56,149.0,587.0,301.0,449.0,480.0,431.0,397.0,201.0,479.0,493.0,108.0,265.0,405.0,578.0,35.0,44.0,197.0,169.0,0.0,205.0
E19,175.0,584.0,298.0,604.0,635.0,586.0,552.0,240.0,634.0,490.0,319.0,266.0,395.0,579.0,122.0,255.0,164.0,237.0,209.0,0.0
